agent	lane	current_ref	current_verdict	priority	required_action	new_branch_gate	acceptance
security-owner	security	9081fda+11a7749+6e3b876	retain_skeleton_repair_required	P1	implement_security_repair_within_allowlist	BLOCKED_PENDING_COORDINATOR_BASE	security_targets_green
security-owner	authorization	9081fda	blocked	P1	enforce_action_resource_and_unknown_action_default_deny	security_contract_repair	strict_role_action_resource_matrix
security-owner	identity	11a7749	blocked	P1	exact_json_dual_unique_fixed_legacy_identity_and_cutoff	security_contract_repair	new_token_not_hit_by_legacy_cutoff
security-owner	audit	main@b79bc64	missing	P1	implement_durable_writer_401_403_allow_503_redaction_retention_correlation	security_contract_repair	real_postgres_audit_evidence
security-owner	publication	6e3b876	dead_code_incompatible	P1	rewrite_exact_four_stage_abi_then_serial_route_wiring	after_route_policy_v3	intent_outcome_and_failure_atomicity
kimi-k3	route_policy_v1	0841ff9	reject_whole	P1	do_not_cherry_pick	never	-
kimi-k3	route_policy_v2	91bfb56_merged_to_main	integrated_but_unwired	P1	build_v3_and_wire_each_real_route	after_security_checkpoint	real_route_introspection_and_api_tests
kimi-k3	request_identity	a49a10f	missing	P1	replace_actor_reviewer_operator_with_principal	under_route_policy_v3	spoof_and_conflict_tests
kimi-k3	ci	a49a10f	branch_ci_failed_and_target_test_not_in_ci	P1	add_route_policy_and_auth_boundary_to_required_ci	after_security_checkpoint	same_sha_all_green
glm-5.3	module_ui	9799485	retain_with_fixes	P2	add_governance_anchor_gated_type_and_ci	after_task7_green	vitest_typecheck_lint_playwright_required
glm-5.3	module_boundaries	f5d9c52_merged_to_main	integrated_unverified_rebuild_v2	P1	manifest_import_owner_and_real_path_guard_v2	after_task6_green	api_ast_ownership_contracts_ci
glm-5.3	full_verification	f5d9c52_merged_to_main	integrated_unverified_rebuild_v2	P1	dynamic_isolation_real_ca_preupgrade_sentinel_two_proofs	after_wave2_green	full_chain_no_skip
glm-5.3	library	df11b44_to_c9f4c6c	inherited_frozen_out_of_scope	P1	make_generation_reproducible_in_separate_work_item	outside_s01	independent_ci_and_evidence
glm-5.3	statements	61ed5fc	separate_work_item	P2	parameterize_14_samples_and_downgrade_unproven_claims	outside_s01	independent_review
coordinator	main	774799e7	ci_green_but_gate_incomplete	P1	freeze_business_merges_and_repair_missing_gates	now	route_policy_targets_and_all_required_jobs_green
coordinator	integration	168d15e	mixed_nonsequential_checkpoint	P1	freeze_and_stop_scope_mixing	now	no_new_business_changes_during_repair
coordinator	security_spec_status	168d15e	resolved_verify_only	P3	preserve_approved_section12_alignment	gate_r0	one_unambiguous_contract_status
coordinator	test_fixture_ci_ownership	main@b79bc64	unassigned	P1	own_global_fixtures_ci_and_delegate_route_tests	gate_r1	no_cross_lane_file_changes
