method	path	actual_side_effect	action	resource_loader	owner	exemption_reason
GET	/api/v1/health	process_health_read	system.health.read	load_public_health	route-policy	anonymous_public_health
GET	/api/v1/workspace	static_workspace_metadata_read	workspace.metadata.read	load_public_workspace_metadata	route-policy	read_only_static_metadata_no_business_data
GET	/api/v1/intake/templates/{template_id}	static_template_file_read	intake.template.read	load_public_intake_template	route-policy	read_only_governed_empty_template
POST	/api/v1/intake/batches	database_write:create_legacy_batch	intake.batch.create	blocked:create_schema_has_no_module_kind_analysis_cycle_or_owner	route-policy	-
POST	/api/v1/intake/batches/{batch_id}/sources	object_store_write_and_database_write:source_registration	intake.source.upload	load_batch_scope_owner_or_deny_legacy	route-policy	-
GET	/api/v1/intake/sources/{source_file_id}/profile	object_store_read_and_in_process_workbook_profile	intake.source.profile.read	load_source_batch_scope_owner_or_deny_legacy	route-policy	-
POST	/api/v1/intake/sources/{source_file_id}/mapping-proposals	object_store_read_and_database_write:mapping_proposal	intake.mapping.propose	load_source_batch_scope_owner_or_deny_legacy	route-policy	-
POST	/api/v1/intake/mappings/{mapping_version_id}/confirm	object_store_read_and_database_update:mapping_confirmation	intake.mapping.confirm	load_mapping_batch_scope_owner_or_deny_legacy	route-policy	request_actor_is_untrusted_and_must_be_replaced_by_principal
POST	/api/v1/intake/mappings/{mapping_version_id}/overrides	object_store_read_and_database_append:mapping_version	intake.mapping.override	load_mapping_batch_scope_owner_or_deny_legacy	route-policy	request_actor_is_untrusted_and_must_be_replaced_by_principal
POST	/api/v1/intake/sources/{source_file_id}/validate	object_store_read_and_database_write:import_quality_lineage_reconciliation	intake.source.validate	load_source_batch_scope_or_deny_legacy	route-policy	-
POST	/api/v1/intake/issues/{quality_issue_id}/acknowledge	database_write:warning_acknowledgement	intake.issue.acknowledge	load_issue_batch_scope_owner_or_deny_legacy	route-policy	request_actor_is_untrusted_and_must_be_replaced_by_principal
POST	/api/v1/intake/imports/{import_version_id}/publish	database_update:import_and_batch_published_state	intake.import.publish	load_import_batch_scope_or_deny_legacy	route-policy	-
GET	/api/v1/intake/batches/{batch_id}/versions	database_read:version_history	intake.version.read	load_batch_scope_owner_or_deny_legacy	route-policy	-
GET	/api/v1/intake/imports/{import_version_id}/cleaning-summary	database_read:sensitive_raw_and_transformed_lineage_samples	intake.cleaning_summary.read	load_import_batch_scope_owner_or_deny_legacy	route-policy	-
GET	/api/v1/intake/imports/{import_version_id}/standardized-workbook	database_read_and_in_process_xlsx_render	intake.standardized_workbook.read	load_import_batch_scope_owner_or_deny_legacy	route-policy	-
GET	/api/v1/dashboard/overview	database_read:globally_selected_latest_published_analysis	dashboard.overview.read	blocked:query_selects_global_published_data_before_enterprise_scope_is_known	route-policy	-
GET	/api/v1/investigations	database_read:unfiltered_findings_across_batches	investigation.list	blocked:list_query_has_no_enterprise_filter_or_collection_resource	route-policy	-
GET	/api/v1/investigations/{finding_id}	database_read:finding_evidence_and_source_projection	investigation.read	load_finding_batch_scope_owner_or_deny_legacy	route-policy	-
POST	/api/v1/investigations/{finding_id}/evidence/{evidence_id}/decision	database_write:evidence_review_decision	investigation.evidence.decide	load_finding_evidence_batch_scope_or_deny_legacy	route-policy	request_reviewer_fields_are_untrusted_and_must_be_replaced_by_principal
PUT	/api/v1/investigations/{finding_id}/conclusion	database_upsert:finding_conclusion	investigation.conclusion.write	load_finding_batch_scope_or_deny_legacy	route-policy	request_reviewer_fields_are_untrusted_and_must_be_replaced_by_principal
POST	/api/v1/investigations/{finding_id}/transition	database_update:finding_status_and_review_event	investigation.transition	load_finding_batch_scope_or_deny_legacy	route-policy	request_reviewer_fields_are_untrusted_and_must_be_replaced_by_principal
POST	/api/v1/copilot/investigations/{finding_id}/ask	model_or_provider_call_and_database_write:copilot_interaction	copilot.investigation.ask	load_finding_batch_scope_or_deny_legacy	route-policy	request_actor_is_untrusted_and_must_be_replaced_by_principal
POST	/api/v1/copilot/explain-mapping	model_or_provider_call_and_database_write:copilot_interaction	copilot.mapping.explain	load_body_import_batch_scope_or_deny_legacy	route-policy	request_actor_is_untrusted_and_must_be_replaced_by_principal
POST	/api/v1/copilot/report-outline	model_or_provider_call_and_database_write:copilot_interaction	copilot.report_outline.generate	load_body_batch_scope_or_deny_legacy	route-policy	request_actor_is_untrusted_and_must_be_replaced_by_principal
POST	/api/v1/publishing/snapshots/{report_snapshot_id}/publish	render_object_store_write_and_database_write:publication_attempts	publishing.report.publish	load_report_snapshot_batch_scope_or_deny_legacy	publication-transaction	four_stage_serial_wiring_required
GET	/api/v1/publishing/snapshots/{report_snapshot_id}/attempts	database_read:publication_attempts	publishing.attempt.read	load_report_snapshot_batch_scope_or_deny_legacy	publication-transaction	-
POST	/api/v1/publishing/snapshots	database_write:report_snapshot_freeze	publishing.snapshot.freeze	load_body_metric_snapshot_batch_scope_or_deny_legacy	publication-transaction	-
GET	/api/v1/publishing/freeze-candidates	database_read:unfiltered_published_metric_snapshots	publishing.candidate.read	blocked:list_query_has_no_enterprise_filter_or_collection_resource	publication-transaction	-
GET	/api/v1/publishing/snapshots	database_read:unfiltered_report_snapshots	publishing.snapshot.read	blocked:list_query_has_no_enterprise_filter_or_collection_resource	publication-transaction	-
GET	/api/v1/publishing/attempts/{attempt_id}/download	database_read_object_store_read_and_hash_verification	publishing.artifact.download	load_attempt_parent_scope_or_deny_legacy	publication-transaction	-
POST	/api/v1/statements/sources	object_store_write_and_database_write:public_statement_source	statement.source.upload	load_public_statement_source_collection	route-policy	public_module_resource_not_enterprise_wildcard
GET	/api/v1/statements/sources	database_read:public_statement_sources	statement.source.read	load_public_statement_source_collection	route-policy	public_module_resource_not_enterprise_wildcard
GET	/api/v1/statements	database_read:public_statement_reports	statement.report.read	load_public_statement_report_collection	route-policy	public_module_resource_not_enterprise_wildcard
GET	/api/v1/statements/{report_id}	database_read:public_statement_report_and_lines	statement.report.read	load_public_statement_report	route-policy	public_module_resource_not_enterprise_wildcard
GET	/api/v1/statements/{report_id}/projection	database_read_and_in_process_projection	statement.projection.read	load_public_statement_report	route-policy	public_module_resource_not_enterprise_wildcard
POST	/api/v1/statements/{report_id}/corrections	database_append:public_statement_correction	statement.correction.create	load_public_statement_report	route-policy	request_operator_is_untrusted_and_must_be_replaced_by_principal
GET	/api/v1/statements/{report_id}/corrections	database_read:public_statement_corrections	statement.correction.read	load_public_statement_report	route-policy	public_module_resource_not_enterprise_wildcard
POST	/api/v1/statements/{report_id}/publish	database_update:public_statement_published_state	statement.report.publish	load_public_statement_report	route-policy	hard_coded_operator_must_be_replaced_by_principal
GET	/api/v1/metric-library	database_or_yaml_read:global_metric_library	metric_library.read	blocked:metric_dictionary_has_no_enterprise_scope	route-policy	-
POST	/api/v1/metric-library/import	database_write_and_filesystem_append:global_metric_library_import_audit	metric_library.import	blocked:metric_dictionary_has_no_enterprise_scope	route-policy	request_actor_is_untrusted_and_filesystem_audit_is_not_authoritative
POST	/api/v1/metric-library/retire	database_update_and_filesystem_append:global_metric_library_retirement	metric_library.retire	blocked:metric_dictionary_has_no_enterprise_scope	route-policy	request_actor_is_untrusted_and_filesystem_audit_is_not_authoritative
POST	/api/v1/metric-library/entries/{entry_id}/drafts	database_append:metric_draft	metric.change.propose	blocked:metric_dictionary_entry_has_no_enterprise_or_proposer_binding	route-policy	request_operator_is_untrusted_and_must_be_replaced_by_principal
