path	disposition	target_path	batch	notes
.dockerignore	keep		M5	待 M5 逐项评估（兜底）
.env.example	keep		M5	待 M5 逐项评估（兜底）
.gitattributes	keep		M5	待 M5 逐项评估（兜底）
.github/workflows/ci.yml	keep		M5	待 M5 逐项评估（兜底）
.gitignore	keep		M5	待 M5 逐项评估（兜底）
.tool-versions	keep		M5	待 M5 逐项评估（兜底）
AGENTS.md	keep		M1	仓库宪法原位
Finance_Intelligence_OS_完整会话归档.md	archive	docs/90_archive/	M5	设计 V1.1 §5.2
HANDOFF.md	move	docs/knowledge-base/07_handoff/	M5	设计 V1.1 §5.2
Makefile	keep		M5	待 M5 逐项评估（兜底）
README.md	rewrite	README.md	M3	M3.1 精简
apps/web/app/analysis/page.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/app/api/auth/login/route.ts	keep		M5	待 M5 逐项评估（兜底）
apps/web/app/api/auth/logout/route.ts	keep		M5	待 M5 逐项评估（兜底）
apps/web/app/api/v1/[...path]/route.ts	keep		M5	待 M5 逐项评估（兜底）
apps/web/app/data/page.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/app/globals.css	keep		M5	待 M5 逐项评估（兜底）
apps/web/app/investigations/[findingId]/page.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/app/investigations/page.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/app/layout.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/app/loading.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/app/login/page.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/app/metric-library/page.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/app/operations/page.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/app/page.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/app/reports/page.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/app/statements/page.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/analysis/four-question-workbench.css	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/analysis/four-question-workbench.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/dashboard/dashboard-app.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/dashboard/dashboard-format.ts	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/dashboard/dashboard-header.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/dashboard/dashboard-state.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/dashboard/dashboard-types.ts	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/dashboard/dashboard.css	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/dashboard/data-status-bar.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/dashboard/findings-panel.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/dashboard/icons.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/dashboard/margin-matrix.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/dashboard/metric-grid.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/dashboard/product-performance-table.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/dashboard/profit-bridge-panel.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/dashboard/trend-panel.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/dashboard/workflow-nav.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/data/data-workbench.css	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/data/data-workbench.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/investigation/copilot-panel.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/investigation/investigation-app.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/investigation/investigation-view.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/investigation/investigation.css	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/investigation/investigations-index.css	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/investigation/investigations-index.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/metric-library/dependency-graph.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/metric-library/metric-library-app.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/metric-library/metric-library.css	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/operations/operations-app.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/operations/operations-overview.css	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/operations/operations-overview.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/operations/operations.css	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/reports/reports-center.css	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/reports/reports-center.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/shell/app-shell.css	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/shell/app-shell.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/statements/charts/donut-chart.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/statements/charts/grouped-bar-chart.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/statements/charts/kpi-cards.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/statements/charts/waterfall-chart.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/statements/review-panel.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/statements/statement-app.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/statements/statement-view.ts	keep		M5	待 M5 逐项评估（兜底）
apps/web/components/statements/statements.css	keep		M5	待 M5 逐项评估（兜底）
apps/web/e2e/__snapshots__/dashboard-1440-darwin.png	keep		M5	待 M5 逐项评估（兜底）
apps/web/e2e/__snapshots__/dashboard-1440-linux.png	keep		M5	待 M5 逐项评估（兜底）
apps/web/e2e/__snapshots__/dashboard-1920-darwin.png	keep		M5	待 M5 逐项评估（兜底）
apps/web/e2e/__snapshots__/dashboard-1920-linux.png	keep		M5	待 M5 逐项评估（兜底）
apps/web/e2e/analysis.spec.ts	keep		M5	待 M5 逐项评估（兜底）
apps/web/e2e/dashboard-network.spec.ts	keep		M5	待 M5 逐项评估（兜底）
apps/web/e2e/dashboard-states.spec.ts	keep		M5	待 M5 逐项评估（兜底）
apps/web/e2e/dashboard-visual.spec.ts	keep		M5	待 M5 逐项评估（兜底）
apps/web/e2e/dashboard.spec.ts	keep		M5	待 M5 逐项评估（兜底）
apps/web/e2e/investigation.spec.ts	keep		M5	待 M5 逐项评估（兜底）
apps/web/e2e/metric-library-governance.spec.ts	keep		M5	待 M5 逐项评估（兜底）
apps/web/e2e/navigation.spec.ts	keep		M5	待 M5 逐项评估（兜底）
apps/web/e2e/statements-review.spec.ts	keep		M5	待 M5 逐项评估（兜底）
apps/web/e2e/statements.spec.ts	keep		M5	待 M5 逐项评估（兜底）
apps/web/e2e/support.ts	keep		M5	待 M5 逐项评估（兜底）
apps/web/e2e/user-closure.spec.ts	keep		M5	待 M5 逐项评估（兜底）
apps/web/eslint.config.mjs	keep		M5	待 M5 逐项评估（兜底）
apps/web/lib/api/client.ts	keep		M5	待 M5 逐项评估（兜底）
apps/web/lib/auth/session.ts	keep		M5	待 M5 逐项评估（兜底）
apps/web/next-env.d.ts	keep		M5	待 M5 逐项评估（兜底）
apps/web/next.config.ts	keep		M5	待 M5 逐项评估（兜底）
apps/web/package.json	keep		M5	待 M5 逐项评估（兜底）
apps/web/playwright.config.ts	keep		M5	待 M5 逐项评估（兜底）
apps/web/proxy.ts	keep		M5	待 M5 逐项评估（兜底）
apps/web/tests/api-client.test.ts	keep		M5	待 M5 逐项评估（兜底）
apps/web/tests/api-proxy.test.ts	keep		M5	待 M5 逐项评估（兜底）
apps/web/tests/auth-proxy.test.ts	keep		M5	待 M5 逐项评估（兜底）
apps/web/tests/auth-session.test.ts	keep		M5	待 M5 逐项评估（兜底）
apps/web/tests/components/data-workbench.test.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/tests/components/dependency-graph.test.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/tests/components/four-question-workbench.test.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/tests/components/metric-library-governance.test.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/tests/components/operations-overview.test.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/tests/components/reports-center.test.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/tests/components/statement-app.test.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/tests/dashboard-accessibility.test.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/tests/dashboard-content.test.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/tests/dashboard-states.test.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/tests/home.test.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/tests/investigation-handoff.test.tsx	keep		M5	待 M5 逐项评估（兜底）
apps/web/tests/setup.ts	keep		M5	待 M5 逐项评估（兜底）
apps/web/tsconfig.e2e.json	keep		M5	待 M5 逐项评估（兜底）
apps/web/tsconfig.json	keep		M5	待 M5 逐项评估（兜底）
apps/web/vitest.config.ts	keep		M5	待 M5 逐项评估（兜底）
config/analysis/objective_finance_v1.yaml	keep		M5	待 M5 逐项评估（兜底）
config/analysis/objective_topics_v1.yaml	keep		M5	待 M5 逐项评估（兜底）
config/intake/flow_v1_aliases.yaml	keep		M5	待 M5 逐项评估（兜底）
config/intake/flow_v1_transforms.yaml	keep		M5	待 M5 逐项评估（兜底）
config/metrics/accounting_foundation_v0.yaml	keep		M5	待 M5 逐项评估（兜底）
config/metrics/accounting_foundation_v1.yaml	keep		M5	待 M5 逐项评估（兜底）
config/metrics/flow_v1_metrics.yaml	keep		M5	待 M5 逐项评估（兜底）
config/metrics/metric_dictionary_v0.yaml	keep		M5	待 M5 逐项评估（兜底）
config/metrics/metric_dictionary_v1.yaml	keep		M5	待 M5 逐项评估（兜底）
config/metrics/metric_dictionary_v1_1.yaml	keep		M5	待 M5 逐项评估（兜底）
config/metrics/operations_dictionary_v1.yaml	keep		M5	待 M5 逐项评估（兜底）
config/operations/operations_track_v1.yaml	keep		M5	待 M5 逐项评估（兜底）
config/statements/item_alias_map_v0.yaml	keep		M5	待 M5 逐项评估（兜底）
config/statements/item_alias_map_v1.yaml	keep		M5	待 M5 逐项评估（兜底）
docs/2026-09-07-documentation-governance.md	archive	docs/90_archive/	M5	被 10_governance 接替
docs/README.md	rewrite	docs/README.md	M1	重写为纯导航
docs/api-reference.md	move	docs/40_specs/platform/	M3	
docs/architecture/flow-v1-domain-objects.md	move	docs/30_architecture/	M3	
docs/architecture/flow-v1-runtime.md	move	docs/30_architecture/	M3	
docs/assets/screenshots/README.md	keep		M5	截图等 M5 评估
docs/assets/screenshots/dashboard.png	keep		M5	截图等 M5 评估
docs/assets/screenshots/data-mapping.png	keep		M5	截图等 M5 评估
docs/assets/screenshots/data-mobile.png	keep		M5	截图等 M5 评估
docs/assets/screenshots/data-quality.png	keep		M5	截图等 M5 评估
docs/assets/screenshots/investigation.png	keep		M5	截图等 M5 评估
docs/assets/screenshots/login.png	keep		M5	截图等 M5 评估
docs/assets/screenshots/p5/metric-library-overview.png	keep		M5	截图等 M5 评估
docs/assets/screenshots/p5/metric-library-relations.png	keep		M5	截图等 M5 评估
docs/assets/screenshots/p5/sf-cashflow.png	keep		M5	截图等 M5 评估
docs/assets/screenshots/p5/sf-dupont.png	keep		M5	截图等 M5 评估
docs/assets/screenshots/p5/sf-overview.png	keep		M5	截图等 M5 评估
docs/assets/screenshots/p5/sf-peer.png	keep		M5	截图等 M5 评估
docs/assets/screenshots/p5/sf-structure.png	keep		M5	截图等 M5 评估
docs/assets/screenshots/p5/tencent-reconciliation.png	keep		M5	截图等 M5 评估
docs/assets/screenshots/p5/tencent-segments.png	keep		M5	截图等 M5 评估
docs/assets/screenshots/reports.png	keep		M5	截图等 M5 评估
docs/data-contract/flow-v1.md	rewrite	docs/40_specs/financial-facts/	M3	
docs/documentation-status.md	compatibility		M5	M5.2 生成式替代
docs/implementation/2026-08-30-phase-1-verification.md	move	docs/60_delivery/implementation/	M5	机器消费者路径 keep 例外
docs/implementation/2026-08-30-phase-2-verification.md	move	docs/60_delivery/implementation/	M5	机器消费者路径 keep 例外
docs/implementation/2026-08-31-phase-3-verification.md	move	docs/60_delivery/implementation/	M5	机器消费者路径 keep 例外
docs/implementation/2026-09-01-phase-4-verification.md	move	docs/60_delivery/implementation/	M5	机器消费者路径 keep 例外
docs/implementation/2026-09-01-phase-5-verification.md	move	docs/60_delivery/implementation/	M5	机器消费者路径 keep 例外
docs/implementation/2026-09-02-phase-10-acceptance.md	move	docs/60_delivery/implementation/	M5	机器消费者路径 keep 例外
docs/implementation/2026-09-02-phase-6-dashboard-fidelity.md	move	docs/60_delivery/implementation/	M5	机器消费者路径 keep 例外
docs/implementation/2026-09-02-phase-6-verification.md	move	docs/60_delivery/implementation/	M5	机器消费者路径 keep 例外
docs/implementation/2026-09-02-phase-7-verification.md	move	docs/60_delivery/implementation/	M5	机器消费者路径 keep 例外
docs/implementation/2026-09-02-phase-8-verification.md	move	docs/60_delivery/implementation/	M5	机器消费者路径 keep 例外
docs/implementation/2026-09-02-phase-9-verification.md	move	docs/60_delivery/implementation/	M5	机器消费者路径 keep 例外
docs/implementation/2026-09-04-documentation-refresh.md	move	docs/60_delivery/implementation/	M5	机器消费者路径 keep 例外
docs/implementation/2026-09-04-phase-pilot-1-user-closure.md	move	docs/60_delivery/implementation/	M5	机器消费者路径 keep 例外
docs/implementation/2026-09-04-review-repairs.md	move	docs/60_delivery/implementation/	M5	机器消费者路径 keep 例外
docs/implementation/2026-09-05-ci-repair.md	move	docs/60_delivery/implementation/	M5	机器消费者路径 keep 例外
docs/implementation/2026-09-05-p5-first-extraction.md	move	docs/60_delivery/implementation/	M5	机器消费者路径 keep 例外
docs/implementation/2026-09-06-shell-metric-library-s3-proxy.md	move	docs/60_delivery/implementation/	M5	机器消费者路径 keep 例外
docs/implementation/assets/phase-6-approved-reference-1440.png	move	docs/60_delivery/implementation/	M5	机器消费者路径 keep 例外
docs/implementation/metric-library-v1.1.md	move	docs/60_delivery/implementation/	M5	机器消费者路径 keep 例外
docs/implementation/objective-analysis/2026-09-06-baseline-audit.md	keep	docs/implementation/objective-analysis/2026-09-06-baseline-audit.md	M5	机器消费者路径（计划 §1.4）
docs/implementation/objective-analysis/2026-09-06-caliber-audit.md	keep	docs/implementation/objective-analysis/2026-09-06-caliber-audit.md	M5	机器消费者路径（计划 §1.4）
docs/implementation/objective-analysis/2026-09-07-format-review.md	keep	docs/implementation/objective-analysis/2026-09-07-format-review.md	M5	机器消费者路径（计划 §1.4）
docs/implementation/objective-analysis/format-review/2026Q1_顺丰控股_20260907214213.pdf	keep	docs/implementation/objective-analysis/format-review/2026Q1_顺丰控股_20260907214213.pdf	M5	机器消费者路径（计划 §1.4）
docs/implementation/objective-analysis/format-review/2026Q2_腾讯控股_20260907214215.pdf	keep	docs/implementation/objective-analysis/format-review/2026Q2_腾讯控股_20260907214215.pdf	M5	机器消费者路径（计划 §1.4）
docs/implementation/objective-analysis/metric-execution-coverage.md	keep	docs/implementation/objective-analysis/metric-execution-coverage.md	M5	机器消费者路径（计划 §1.4）
docs/implementation/objective-analysis/next-stage-baseline.md	keep	docs/implementation/objective-analysis/next-stage-baseline.md	M5	机器消费者路径（计划 §1.4）
docs/implementation/p5/P5-validation-summary.md	keep	docs/implementation/p5/P5-validation-summary.md	M5	机器消费者路径（计划 §1.4）
