source_id	locator	title	author	k_route	availability	evidence_path	duplicate_group
finance-00ae289107db	vault:processed/03_财务与会计/wechat-49892bd609cb.md	三种利润的区别与应用场景		K1+K3+K4+K6	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-0264980e3b89	vault:processed/03_财务与会计/业财项目进展小结.md	业财项目进展小结		K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-02989d7c444d	vault:processed/03_财务与会计/CFO Metrics 2025年6月运营指标数据报表.md	CFO Metrics 2025年6月运营指标数据报表		K6+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-03a66ed6967f	vault:processed/03_财务与会计/1909530585291039800_科技板块领涨A股，我们如何把握机遇？ _ 何刚·投资参考（年度日更）.md	笔记_---		K3+K8	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-051ed52fc9e2	vault:processed/03_财务与会计/1912688483617659152_数据熊盈亏平衡决策模型：从公式到经营决策的实战指南.md	盈亏平衡决策模型实战指南		K5	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-054a8c63712e	vault:processed/03_财务与会计/走进计收费（八）：离线篇.md	走进计收费（八）：离线篇		K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-05c6829476ed	vault:processed/03_财务与会计/wechat-8c4567605ebf.md	财务分析必须基于业务逻辑		K1+K3+K4+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-05f3d9d66e65	vault:processed/03_财务与会计/什么是滚动预测.md	什么是滚动预测？	Teaganne Finn, Ian Smalley（IBM Think）	K1+K4+K6+K8	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-0769dbb4e2e8	vault:processed/03_财务与会计/雷达图分析法简介.md	雷达图分析法简介			locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-07cec47de58c	vault:processed/03_财务与会计/1.3 业财一体与经营精细化.md	1.3 业财一体与经营精细化		K5+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-098661926385	vault:processed/03_财务与会计/1920855367152758568_多产品·多约束盈亏平衡测算模型 V1.0 全功能解析.md	多产品多约束盈亏平衡测算模型解析		K3	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-0a1acba3da6b	vault:processed/03_财务与会计/wechat-dee6e9e9e20b.md	美的集团2024年财报深度分析		K2+K3+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-0bd5548cc32f	vault:processed/03_财务与会计/1920853625543418496_Power BI 财务分析驾驶舱全拆解：从数据联动到风险预警的 11 大模块.md	Power BI财务分析驾驶舱模块拆解		K2+K3+K4+K5+K6	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
